# ------------------------------------------------------------------------------
#     name   network            latitude           longitude  useless      depth
# ------------------------------------------------------------------------------
      MONP        AZ           32.892700         -116.422501        0.        0.
       PFO        AZ           33.611698         -116.459396        0.        0.
      ANMO        IU           34.945911         -106.457199        0.        0.
       CCM        IU           38.055698          -91.244598        0.        0.
      DWPF        IU           28.110300          -81.432701        0.        0.
       HRV        IU           42.506401          -71.558296        0.        0.
      RSSD        IU           44.121201         -104.035896        0.        0.
      SSPA        IU           40.635799          -77.887604        0.        0.
       TUC        IU           32.309799         -110.784698        0.        0.
       WCI        IU           38.228901          -86.293900        0.        0.
       WVT        IU           36.129700          -87.830002        0.        0.
       PAL        LD           41.005600          -73.907898        0.        0.
       BEK        NN           39.866600         -120.359596        0.        0.
       OMM        NN           37.612301         -119.000397        0.        0.
       WCN        NN           39.310398         -119.759003        0.        0.
      ACTO        PO           43.608700          -80.062401        0.        0.
      ALFO        PO           45.628300          -74.884201        0.        0.
      ALGO        PO           45.954399          -78.050903        0.        0.
      BANO        PO           45.019798          -77.928001        0.        0.
      BASO        PO           44.013309          -81.664818        0.        0.
      BELQ        PO           47.397999          -78.687401        0.        0.
      BMRO        PO           44.595188          -81.217422        0.        0.
      BRCO        PO           44.243698          -81.442299        0.        0.
      BUKO        PO           45.442299          -79.398903        0.        0.
      BWLO        PO           44.117409          -81.138237        0.        0.
      CHGQ        PO           49.910500          -74.374802        0.        0.
      CLWO        PO           44.449100          -80.301300        0.        0.
      DELO        PO           44.517700          -77.618599        0.        0.
      DRCO        PO           43.876598          -78.702301        0.        0.
      DRWO        PO           43.871899          -78.729980        0.        0.
      ELFO        PO           43.193001          -81.316299        0.        0.
      KLBO        PO           45.356602          -80.213203        0.        0.
      LATQ        PO           47.383499          -72.781898        0.        0.
      LSQQ        PO           49.057999          -76.979599        0.        0.
      MATQ        PO           49.758900          -77.637604        0.        0.
      MEDO        PO           43.164600          -78.454597        0.        0.
      ORHO        PO           45.456299          -75.536697        0.        0.
      ORIO        PO           45.451500          -75.511002        0.        0.
      PECO        PO           43.933998          -76.993896        0.        0.
      PEMO        PO           45.677299          -77.246597        0.        0.
      PKRO        PO           43.964298          -79.071404        0.        0.
      PLIO        PO           41.750500          -82.628403        0.        0.
      PLVO        PO           45.039600          -77.075401        0.        0.
      STCO        PO           43.209599          -79.170502        0.        0.
      TOBO        PO           45.225700          -81.523399        0.        0.
      TORO        PO           43.613602          -79.343300        0.        0.
      TYNO        PO           43.095001          -79.870201        0.        0.
      WLVO        PO           43.923599          -78.397003        0.        0.
      034A        TA           27.064699          -98.683296        0.        0.
      035A        TA           26.937901          -98.102303        0.        0.
      035Z        TA           26.462999          -98.068298        0.        0.
      058A        TA           27.056900          -81.804901        0.        0.
      059A        TA           26.967100          -81.143997        0.        0.
      059Z        TA           26.337299          -81.443199        0.        0.
      060A        TA           27.036100          -80.361801        0.        0.
      060Z        TA           26.406200          -80.556000        0.        0.
      061Z        TA           25.865700          -80.906998        0.        0.
      062Z        TA           24.726601          -81.052299        0.        0.
      109C        TA           32.888901         -117.105103        0.        0.
      112A        TA           32.535599         -114.580399        0.        0.
      113A        TA           32.768299         -113.766701        0.        0.
      114A        TA           32.751301         -112.883003        0.        0.
      115A        TA           32.700600         -112.227898        0.        0.
      116A        TA           32.561798         -111.704201        0.        0.
      117A        TA           32.571602         -110.739304        0.        0.
      118A        TA           32.639900         -109.969704        0.        0.
      119A        TA           32.766300         -109.302902        0.        0.
      120A        TA           32.546600         -108.633003        0.        0.
      121A        TA           32.532398         -107.785103        0.        0.
      122A        TA           32.699501         -107.000504        0.        0.
      123A        TA           32.634899         -106.262199        0.        0.
      124A        TA           32.700100         -105.454399        0.        0.
      125A        TA           32.658798         -104.657303        0.        0.
      126A        TA           32.646198         -104.020401        0.        0.
      127A        TA           32.676399         -103.357498        0.        0.
      128A        TA           32.621300         -102.485001        0.        0.
      129A        TA           32.630901         -101.866203        0.        0.
      130A        TA           32.596100         -100.965202        0.        0.
      131A        TA           32.673698         -100.388802        0.        0.
      133A        TA           32.608299          -98.916199        0.        0.
      134A        TA           32.572899          -98.079498        0.        0.
      135A        TA           32.557301          -97.409897        0.        0.
      136A        TA           32.474602          -96.529701        0.        0.
      137A        TA           32.597301          -95.755898        0.        0.
      138A        TA           32.660400          -95.088699        0.        0.
      139A        TA           32.679501          -94.392700        0.        0.
      140A        TA           32.640800          -93.573997        0.        0.
      141A        TA           32.604599          -92.904900        0.        0.
      142A        TA           32.548801          -91.945702        0.        0.
      143A        TA           32.703201          -91.403603        0.        0.
      144A        TA           32.630402          -90.422600        0.        0.
      145A        TA           32.603500          -89.928703        0.        0.
      146A        TA           32.636799          -89.057297        0.        0.
      147A        TA           32.673801          -88.270798        0.        0.
      148A        TA           32.646900          -87.570999        0.        0.
      149A        TA           32.598301          -86.791603        0.        0.
      150A        TA           32.606701          -86.022003        0.        0.
      151A        TA           32.526901          -85.326698        0.        0.
      152A        TA           32.668598          -84.718803        0.        0.
      153A        TA           32.649899          -83.831596        0.        0.
      154A        TA           32.613098          -83.106598        0.        0.
      155A        TA           32.621899          -82.466499        0.        0.
