# name network latitude longitude useless depth
D01 SK 5.0 0.0 0.0 0.0
D02 SK 2.5 0.0 0.0 0.0
D03 SK 0.0 0.0 0.0 0.0
D04 SK -2.5 0.0 0.0 0.0
D05 SK -5.0 0.0 0.0 0.0
D06 SK -7.5 0.0 0.0 0.0
D07 SK -10.0 0.0 0.0 0.0
D08 SK -12.5 0.0 0.0 0.0
D09 SK -15.0 0.0 0.0 0.0
D10 SK -17.5 0.0 0.0 0.0
D11 SK -20.0 0.0 0.0 0.0
D12 SK -22.5 0.0 0.0 0.0
D13 SK -25.0 0.0 0.0 0.0
D14 SK -27.5 0.0 0.0 0.0
D15 SK -30.0 0.0 0.0 0.0
D16 SK -32.5 0.0 0.0 0.0
D17 SK -35.0 0.0 0.0 0.0
D18 SK -37.5 0.0 0.0 0.0
D19 SK -40.0 0.0 0.0 0.0
D20 SK -42.5 0.0 0.0 0.0
D21 SK -45.0 0.0 0.0 0.0
