basestalon	 basestalat	 phi	 dt	 basesta 

 -121.760800	  46.560500	  -82.608583	  1.518987	 E05A
 -119.854800	  46.558500	  -79.458261	  1.367089	 E07A
 -119.059500	  46.491100	  -78.994797	  1.063291	 E08A
 -118.145500	  46.513900	  -83.444923	  0.962025	 E09A
 -117.110200	  46.485000	  -73.836439	  0.759494	 E10A
 -116.209200	  46.355900	  -87.333134	  0.455696	 E11A
 -121.458000	  45.883900	  -82.543647	  1.620253	 F05A
 -120.781700	  45.766400	  -83.159353	  1.620253	 F06A
 -119.927800	  45.895100	  -82.627073	  1.215190	 F07A
 -118.776800	  45.797100	  -82.963041	  1.265823	 F08A
 -117.909400	  45.708700	  -74.469545	  1.012658	 F09A
 -117.227700	  45.973400	  88.985305	  0.759494	 F10A
 -116.154900	  45.888300	  -81.404686	  0.506329	 F11A
 -121.316700	  45.242200	  -85.568016	  1.518987	 G05A
 -120.635100	  45.235700	  -78.164839	  1.518987	 G06A
 -119.669200	  45.266400	  89.410959	  1.316456	 G07A
 -118.959500	  45.290400	  -80.167319	  1.164557	 G08A
 -117.780200	  45.278100	  -80.479816	  0.860759	 G09A
 -117.120400	  45.292500	  -81.092887	  0.860759	 G10A
 -121.227100	  44.647300	  -85.612829	  1.468354	 H05A
 -120.334600	  44.734400	  -82.073665	  1.316456	 H06A
 -119.564600	  44.591300	  -77.648090	  1.417722	 H07A
 -118.670400	  44.519100	  -89.141429	  1.113924	 H08A
 -116.747400	  44.589000	  -73.019819	  0.658228	 H10A
 -121.267500	  44.162600	  -86.713835	  1.316456	 I05A
 -120.210700	  43.943700	  -88.133408	  1.417722	 I06A
 -119.504200	  44.082000	  -81.701230	  1.113924	 I07A
 -117.740700	  43.973300	  -85.707008	  0.911392	 I09A
 -116.802900	  44.086000	  -86.150940	  0.506329	 I10A
 -115.957800	  43.912100	  -85.706377	  0.151899	 I11A
 -116.981400	  43.289900	  -84.403317	  0.607595	 ID001
 -116.507000	  43.194700	  -82.154933	  0.455696	 ID002
 -116.626900	  42.917000	  -89.273842	  0.405063	 ID004
 -116.133000	  42.833900	  84.985477	  0.253165	 ID005
 -116.364800	  42.663400	  80.825010	  0.354430	 ID007
 -115.980500	  42.546600	  72.015889	  0.253165	 ID008
 -116.288200	  42.339700	  78.807899	  0.303797	 ID014
 -116.170100	  42.308800	  73.867310	  0.303797	 ID015
 -116.689800	  42.293600	  -85.422024	  0.354430	 ID016
 -121.235700	  43.284300	  -86.829629	  1.164557	 J05A
 -120.152800	  43.251500	  -84.211163	  1.063291	 J06A
 -119.310500	  43.373600	  -89.709149	  0.962025	 J07A
 -118.474300	  43.358000	  -88.235188	  0.911392	 J08A
 -117.754200	  43.347100	  -79.828787	  0.759494	 J09A
 -116.767000	  43.427500	  -84.256940	  0.556962	 J10A
 -115.827800	  43.415100	  74.267730	  0.101266	 J11A
 -120.893400	  42.725800	  89.284757	  0.962025	 K05A
 -120.251000	  42.799100	  82.662591	  1.012658	 K06A
 -119.246900	  42.691200	  -88.784076	  1.012658	 K07A
 -118.486400	  42.730800	  -87.348522	  0.860759	 K08A
 -117.725100	  42.699600	  86.073575	  0.708861	 K09A
 -116.870500	  42.777900	  85.564845	  0.506329	 K10A
 -116.032300	  42.771300	  75.029516	  0.253165	 K11A
 -120.833600	  42.047200	  78.221490	  0.860759	 L05A
 -119.339800	  42.018700	  74.058610	  0.962025	 L07A
 -118.344500	  42.190100	  85.641925	  0.810127	 L08A
 -117.666700	  42.019200	  85.990389	  0.810127	 L09A
 -116.471100	  42.077300	  -86.340099	  0.303797	 L10A
 -115.754100	  42.166900	  66.069568	  0.202532	 L11A
 -120.477200	  41.204700	  69.305616	  1.063291	 M06C
 -119.171100	  41.388400	  70.057861	  0.962025	 M07A
 -118.379200	  41.448300	  70.504699	  0.911392	 M08A
 -117.449700	  41.423000	  86.011421	  0.607595	 M09A
 -116.539600	  41.522000	  72.525097	  0.455696	 M10A
 -115.791200	  41.431100	  76.915515	  0.151899	 M11A
 -118.661100	  41.966600	  78.429631	  0.860759	 NV001
 -115.959000	  41.918200	  73.911861	  0.202532	 NV004
 -118.610500	  41.826100	  76.435664	  0.860759	 NV008
 -116.324300	  41.827200	  -86.304074	  0.253165	 NV009
 -118.583100	  41.618700	  73.418487	  0.860759	 NV013
 -117.874200	  45.021500	  -86.584865	  0.962025	 OR002
 -118.144400	  44.683200	  -79.806389	  1.063291	 OR005
 -119.027200	  44.491800	  -86.353204	  1.215190	 OR006
 -121.312800	  44.371200	  -84.707477	  1.417722	 OR007
 -120.974700	  44.409000	  -83.503074	  1.468354	 OR008
 -119.413200	  44.465700	  -78.581998	  1.367089	 OR009
 -118.836000	  44.396900	  -86.259442	  1.164557	 OR011
 -121.489800	  44.273900	  -86.826692	  1.367089	 OR012
 -119.024300	  44.203800	  -81.402701	  1.164557	 OR014
 -121.030200	  44.215500	  -83.566643	  1.417722	 OR015
 -120.601700	  44.214700	  -85.316505	  1.518987	 OR016
 -121.409400	  44.148700	  -87.799078	  1.316456	 OR018
 -118.993600	  44.112600	  -80.401030	  1.164557	 OR019
 -120.685900	  44.053100	  -81.391728	  1.417722	 OR024
 -118.969300	  44.007500	  -81.405448	  1.113924	 OR027
 -121.192500	  43.991800	  -88.696728	  1.316456	 OR029
 -121.036400	  43.906000	  -88.619134	  1.265823	 OR030
 -120.886200	  43.855300	  -87.539697	  1.265823	 OR032
 -119.028000	  43.774100	  -83.479684	  1.012658	 OR033
 -120.559000	  43.835900	  -82.352782	  1.316456	 OR034
 -120.022700	  43.887600	  89.966246	  1.316456	 OR035
 -118.987600	  43.694200	  -83.470246	  1.012658	 OR039
 -120.284900	  43.717400	  -82.213072	  1.367089	 OR040
 -119.709200	  43.680300	  89.112944	  1.164557	 OR043
 -119.220000	  43.632500	  -83.613990	  1.012658	 OR044
 -120.192600	  43.679300	  -83.165889	  1.367089	 OR046
 -120.441300	  43.615000	  -83.319802	  1.215190	 OR048
 -118.601900	  43.594300	  -86.266886	  0.911392	 OR049
 -120.012400	  43.640500	  -87.068218	  1.316456	 OR051
 -119.024900	  43.522400	  -83.520921	  0.962025	 OR052
 -118.408800	  43.550100	  -86.164470	  0.860759	 OR053
 -118.103000	  43.522500	  -81.995294	  0.810127	 OR054
 -119.763200	  43.549100	  89.060305	  1.215190	 OR055
 -120.678300	  43.576100	  -89.462905	  1.164557	 OR056
 -120.115800	  43.498700	  -83.150642	  1.265823	 OR057
 -119.703200	  43.487200	  88.084638	  1.164557	 OR058
 -119.556500	  43.453000	  88.163167	  1.113924	 OR059
 -119.022800	  43.433500	  -83.534769	  0.962025	 OR060
 -120.561300	  43.392200	  89.575981	  1.113924	 OR061
 -119.779400	  43.306300	  -86.988418	  1.215190	 OR062
 -119.347200	  43.388700	  -89.727628	  0.962025	 OR064
 -119.189100	  43.346000	  -87.644391	  0.911392	 OR066
 -119.039200	  43.294400	  -85.567507	  0.911392	 OR067
 -118.228000	  43.306100	  -88.104377	  0.810127	 OR069
 -117.893800	  43.233500	  -83.927935	  0.708861	 OR070
 -119.297000	  43.235600	  87.275763	  0.962025	 OR072
 -118.896200	  43.246900	  -84.494049	  0.911392	 OR073
 -119.853900	  43.163800	  -83.053872	  1.113924	 OR074
 -119.491600	  43.208400	  87.160281	  1.113924	 OR075
 -117.344700	  43.155300	  -85.632311	  0.658228	 OR076
 -118.654300	  43.197100	  -84.364992	  0.911392	 OR077
 -118.971700	  43.160700	  -87.551416	  0.860759	 OR078
 -118.571000	  43.128700	  -85.329359	  0.911392	 OR079
 -117.652900	  43.063600	  -81.822140	  0.658228	 OR080
 -118.420600	  43.109500	  -88.247447	  0.860759	 OR081
 -119.417800	  43.118600	  86.187772	  1.113924	 OR082
 -118.163500	  43.072500	  88.891553	  0.810127	 OR084
 -119.714200	  43.016700	  -82.997515	  1.063291	 OR086
 -118.662400	  42.991100	  -85.404339	  0.860759	 OR087
 -117.302300	  42.965600	  -81.642674	  0.607595	 OR088
 -118.028000	  43.000700	  88.955574	  0.759494	 OR089
 -117.890500	  42.925000	  -89.980147	  0.708861	 OR090
 -119.043700	  42.875500	  85.360683	  0.962025	 OR091
 -119.555100	  42.860000	  -82.931873	  1.012658	 OR092
 -119.179800	  42.919400	  84.290702	  1.063291	 OR093
 -118.334900	  43.939900	  -82.053043	  0.962025	 OR094
 -117.658800	  42.856500	  -84.861949	  0.658228	 OR095
 -117.113800	  42.813800	  -86.564434	  0.506329	 OR096
 -117.573900	  42.820300	  -84.820696	  0.607595	 OR097
 -119.230200	  42.775400	  89.238866	  1.063291	 OR098
 -118.689000	  42.737300	  88.538417	  0.860759	 OR099
 -117.407800	  42.767700	  -78.736972	  0.607595	 OR101
 -118.105900	  42.827800	  86.881953	  0.860759	 OR103
 -117.193500	  42.716900	  -78.626257	  0.556962	 OR104
 -117.065300	  42.649500	  -80.566798	  0.506329	 OR105
 -117.876500	  42.679700	  82.985356	  0.810127	 OR106
 -118.977000	  42.632900	  85.358977	  1.012658	 OR108
 -117.462900	  42.546800	  88.193552	  0.607595	 OR109
 -118.904000	  42.509200	  85.380150	  0.962025	 OR111
 -117.678600	  42.416500	  79.050878	  0.810127	 OR120
 -119.026100	  42.106000	  82.247719	  0.810127	 OR127
 -118.825200	  42.929900	  89.493329	  0.860759	 OR132
 -118.569200	  43.910400	  -81.192626	  1.012658	 OR133
 -115.950000	  44.921000	  74.505919	  0.405063	 W01
 -116.140000	  44.932000	  79.399121	  0.455696	 W02
 -116.399000	  44.991000	  84.262419	  0.556962	 W03
 -116.664000	  45.045000	  89.120762	  0.658228	 W04
 -116.836000	  45.128000	  -87.961611	  0.759494	 W05
 -117.034000	  45.164000	  -81.068927	  0.810127	 W06
 -117.375000	  45.250000	  -74.249491	  0.911392	 W07
 -117.359000	  45.427000	  -76.204384	  0.962025	 W08
 -117.807000	  45.504000	  -74.450544	  0.962025	 W09
 -117.681000	  45.640000	  -74.349409	  1.012658	 W10
 -117.548000	  45.805000	  -82.237773	  0.962025	 W11
 -117.464000	  45.953000	  -89.157872	  0.911392	 W12
 -117.379000	  46.122000	  89.927450	  0.759494	 W13
 -117.499000	  46.269000	  89.887505	  0.759494	 W14
 -117.548000	  46.375000	  -87.119159	  0.708861	 W15
 -117.191600	  45.009000	  -73.191515	  0.860759	 W18
 -117.506000	  44.844800	  -84.405945	  0.759494	 W19
 -117.924000	  44.538000	  -78.706464	  1.063291	 W20
 -117.383900	  46.724000	  -72.947242	  0.759494	 W21
 -118.072700	  46.789300	  -86.344039	  0.759494	 W22
 -117.759700	  46.965700	  -74.119372	  0.708861	 W23
 -118.400900	  45.660400	  -83.768075	  1.063291	 W25
 -119.087100	  46.018400	  -81.103924	  1.367089	 W26
 -119.395800	  46.171600	  -79.257997	  1.367089	 W27
 -117.098200	  45.530300	  89.968855	  0.860759	 W28
 -116.851500	  45.650100	  88.137721	  0.708861	 W29
 -116.364700	  45.801900	  -78.545902	  0.556962	 W30
