basestalon	 basestalat	 phi	 dt	 basesta 

 -121.760800	  46.560500	  -83.608583	  1.620253	 E05A
 -119.854800	  46.558500	  -76.458261	  1.265823	 E07A
 -119.059500	  46.491100	  -82.994797	  1.012658	 E08A
 -118.145500	  46.513900	  -84.444923	  0.962025	 E09A
 -117.110200	  46.485000	  -79.836439	  0.708861	 E10A
 -116.209200	  46.355900	  89.666866	  0.455696	 E11A
 -121.458000	  45.883900	  -82.543647	  1.569620	 F05A
 -120.781700	  45.766400	  -80.159353	  1.569620	 F06A
 -119.927800	  45.895100	  -83.627073	  1.113924	 F07A
 -118.776800	  45.797100	  -78.963041	  1.164557	 F08A
 -117.909400	  45.708700	  -79.469545	  0.962025	 F09A
 -117.227700	  45.973400	  88.985305	  0.759494	 F10A
 -116.154900	  45.888300	  -89.404686	  0.455696	 F11A
 -121.316700	  45.242200	  -83.568016	  1.772152	 G05A
 -120.635100	  45.235700	  -81.164839	  1.468354	 G06A
 -119.669200	  45.266400	  -85.589041	  1.367089	 G07A
 -118.959500	  45.290400	  -84.167319	  1.012658	 G08A
 -117.780200	  45.278100	  -83.479816	  0.962025	 G09A
 -117.120400	  45.292500	  -75.092887	  0.911392	 G10A
 -121.227100	  44.647300	  -86.612829	  1.518987	 H05A
 -120.334600	  44.734400	  -85.073665	  1.417722	 H06A
 -119.564600	  44.591300	  -76.648090	  1.265823	 H07A
 -118.670400	  44.519100	  -87.141429	  1.215190	 H08A
 -116.747400	  44.589000	  -80.019819	  0.607595	 H10A
 -121.267500	  44.162600	  -85.713835	  1.417722	 I05A
 -120.210700	  43.943700	  -87.133408	  1.417722	 I06A
 -119.504200	  44.082000	  -85.701230	  1.113924	 I07A
 -117.740700	  43.973300	  88.292992	  0.962025	 I09A
 -116.802900	  44.086000	  -75.150940	  0.556962	 I10A
 -115.957800	  43.912100	  -55.706377	  0.455696	 I11A
 -116.981400	  43.289900	  89.596683	  0.607595	 ID001
 -116.507000	  43.194700	  -89.154933	  0.354430	 ID002
 -116.626900	  42.917000	  -88.273842	  0.405063	 ID004
 -116.133000	  42.833900	  -85.014523	  0.202532	 ID005
 -116.364800	  42.663400	  86.825010	  0.303797	 ID007
 -115.980500	  42.546600	  -79.984111	  0.151899	 ID008
 -116.288200	  42.339700	  80.807899	  0.253165	 ID014
 -116.170100	  42.308800	  83.867310	  0.202532	 ID015
 -116.689800	  42.293600	  81.577976	  0.354430	 ID016
 -121.235700	  43.284300	  89.170371	  1.164557	 J05A
 -120.152800	  43.251500	  -87.211163	  1.063291	 J06A
 -119.310500	  43.373600	  -89.709149	  1.113924	 J07A
 -118.474300	  43.358000	  -83.235188	  0.759494	 J08A
 -117.754200	  43.347100	  -83.828787	  0.708861	 J09A
 -116.767000	  43.427500	  -89.256940	  0.455696	 J10A
 -115.827800	  43.415100	  -44.732270	  0.810127	 J11A
 -120.893400	  42.725800	  86.284757	  1.012658	 K05A
 -120.251000	  42.799100	  86.662591	  0.962025	 K06A
 -119.246900	  42.691200	  -85.784076	  0.911392	 K07A
 -118.486400	  42.730800	  86.651478	  0.810127	 K08A
 -117.725100	  42.699600	  -86.926425	  0.506329	 K09A
 -116.870500	  42.777900	  86.564845	  0.455696	 K10A
 -116.032300	  42.771300	  -69.970484	  0.202532	 K11A
 -120.833600	  42.047200	  80.221490	  0.810127	 L05A
 -119.339800	  42.018700	  80.058610	  0.810127	 L07A
 -118.344500	  42.190100	  -85.358075	  0.759494	 L08A
 -117.666700	  42.019200	  82.990389	  0.607595	 L09A
 -116.471100	  42.077300	  78.659901	  0.303797	 L10A
 -115.754100	  42.166900	  72.069568	  0.101266	 L11A
 -120.477200	  41.204700	  71.305616	  0.962025	 M06C
 -119.171100	  41.388400	  72.057861	  0.810127	 M07A
 -118.379200	  41.448300	  73.504699	  0.759494	 M08A
 -117.449700	  41.423000	  85.011421	  0.556962	 M09A
 -116.539600	  41.522000	  80.525097	  0.303797	 M10A
 -115.791200	  41.431100	  70.915515	  0.202532	 M11A
 -118.661100	  41.966600	  79.429631	  0.759494	 NV001
 -115.959000	  41.918200	  65.911861	  0.253165	 NV004
 -118.610500	  41.826100	  77.435664	  0.759494	 NV008
 -116.324300	  41.827200	  80.695926	  0.253165	 NV009
 -118.583100	  41.618700	  75.418487	  0.759494	 NV013
 -117.874200	  45.021500	  -79.584865	  0.962025	 OR002
 -118.144400	  44.683200	  -83.806389	  0.860759	 OR005
 -119.027200	  44.491800	  -79.353204	  1.265823	 OR006
 -121.312800	  44.371200	  -86.707477	  1.518987	 OR007
 -120.974700	  44.409000	  -86.503074	  1.518987	 OR008
 -119.413200	  44.465700	  -76.581998	  1.215190	 OR009
 -118.836000	  44.396900	  -80.259442	  1.215190	 OR011
