# ------------------------------
# name network x y useless depth
# ------------------------------
0423 FAKE 0.00 -45000.00 0.0 0.0
0479 FAKE -9000.00 -44000.00 0.0 0.0
0480 FAKE -8000.00 -44000.00 0.0 0.0
0481 FAKE -7000.00 -44000.00 0.0 0.0
0482 FAKE -6000.00 -44000.00 0.0 0.0
0483 FAKE -5000.00 -44000.00 0.0 0.0
0484 FAKE -4000.00 -44000.00 0.0 0.0
0485 FAKE -3000.00 -44000.00 0.0 0.0
0486 FAKE -2000.00 -44000.00 0.0 0.0
0487 FAKE -1000.00 -44000.00 0.0 0.0
0488 FAKE 0.00 -44000.00 0.0 0.0
0489 FAKE 1000.00 -44000.00 0.0 0.0
0490 FAKE 2000.00 -44000.00 0.0 0.0
0491 FAKE 3000.00 -44000.00 0.0 0.0
0492 FAKE 4000.00 -44000.00 0.0 0.0
0493 FAKE 5000.00 -44000.00 0.0 0.0
0494 FAKE 6000.00 -44000.00 0.0 0.0
0495 FAKE 7000.00 -44000.00 0.0 0.0
0496 FAKE 8000.00 -44000.00 0.0 0.0
0497 FAKE 9000.00 -44000.00 0.0 0.0
0543 FAKE -13000.00 -43000.00 0.0 0.0
0544 FAKE -12000.00 -43000.00 0.0 0.0
0545 FAKE -11000.00 -43000.00 0.0 0.0
0546 FAKE -10000.00 -43000.00 0.0 0.0
0547 FAKE -9000.00 -43000.00 0.0 0.0
0548 FAKE -8000.00 -43000.00 0.0 0.0
0549 FAKE -7000.00 -43000.00 0.0 0.0
0550 FAKE -6000.00 -43000.00 0.0 0.0
0551 FAKE -5000.00 -43000.00 0.0 0.0
0552 FAKE -4000.00 -43000.00 0.0 0.0
0553 FAKE -3000.00 -43000.00 0.0 0.0
0554 FAKE -2000.00 -43000.00 0.0 0.0
0555 FAKE -1000.00 -43000.00 0.0 0.0
0556 FAKE 0.00 -43000.00 0.0 0.0
0557 FAKE 1000.00 -43000.00 0.0 0.0
0558 FAKE 2000.00 -43000.00 0.0 0.0
0559 FAKE 3000.00 -43000.00 0.0 0.0
0560 FAKE 4000.00 -43000.00 0.0 0.0
0561 FAKE 5000.00 -43000.00 0.0 0.0
0562 FAKE 6000.00 -43000.00 0.0 0.0
0563 FAKE 7000.00 -43000.00 0.0 0.0
0564 FAKE 8000.00 -43000.00 0.0 0.0
0565 FAKE 9000.00 -43000.00 0.0 0.0
0566 FAKE 10000.00 -43000.00 0.0 0.0
0567 FAKE 11000.00 -43000.00 0.0 0.0
0568 FAKE 12000.00 -43000.00 0.0 0.0
0569 FAKE 13000.00 -43000.00 0.0 0.0
0610 FAKE -16000.00 -42000.00 0.0 0.0
0611 FAKE -15000.00 -42000.00 0.0 0.0
0612 FAKE -14000.00 -42000.00 0.0 0.0
0613 FAKE -13000.00 -42000.00 0.0 0.0
0614 FAKE -12000.00 -42000.00 0.0 0.0
0615 FAKE -11000.00 -42000.00 0.0 0.0
0616 FAKE -10000.00 -42000.00 0.0 0.0
0617 FAKE -9000.00 -42000.00 0.0 0.0
0618 FAKE -8000.00 -42000.00 0.0 0.0
0619 FAKE -7000.00 -42000.00 0.0 0.0
0620 FAKE -6000.00 -42000.00 0.0 0.0
0621 FAKE -5000.00 -42000.00 0.0 0.0
0622 FAKE -4000.00 -42000.00 0.0 0.0
0623 FAKE -3000.00 -42000.00 0.0 0.0
0624 FAKE -2000.00 -42000.00 0.0 0.0
0625 FAKE -1000.00 -42000.00 0.0 0.0
0626 FAKE 0.00 -42000.00 0.0 0.0
0627 FAKE 1000.00 -42000.00 0.0 0.0
0628 FAKE 2000.00 -42000.00 0.0 0.0
0629 FAKE 3000.00 -42000.00 0.0 0.0
0630 FAKE 4000.00 -42000.00 0.0 0.0
0631 FAKE 5000.00 -42000.00 0.0 0.0
0632 FAKE 6000.00 -42000.00 0.0 0.0
0633 FAKE 7000.00 -42000.00 0.0 0.0
0634 FAKE 8000.00 -42000.00 0.0 0.0
0635 FAKE 9000.00 -42000.00 0.0 0.0
0636 FAKE 10000.00 -42000.00 0.0 0.0
0637 FAKE 11000.00 -42000.00 0.0 0.0
0638 FAKE 12000.00 -42000.00 0.0 0.0
0639 FAKE 13000.00 -42000.00 0.0 0.0
0640 FAKE 14000.00 -42000.00 0.0 0.0
0641 FAKE 15000.00 -42000.00 0.0 0.0
0642 FAKE 16000.00 -42000.00 0.0 0.0
0680 FAKE -18000.00 -41000.00 0.0 0.0
0681 FAKE -17000.00 -41000.00 0.0 0.0
0682 FAKE -16000.00 -41000.00 0.0 0.0
0683 FAKE -15000.00 -41000.00 0.0 0.0
0684 FAKE -14000.00 -41000.00 0.0 0.0
0685 FAKE -13000.00 -41000.00 0.0 0.0
0686 FAKE -12000.00 -41000.00 0.0 0.0
0687 FAKE -11000.00 -41000.00 0.0 0.0
0688 FAKE -10000.00 -41000.00 0.0 0.0
0689 FAKE -9000.00 -41000.00 0.0 0.0
0690 FAKE -8000.00 -41000.00 0.0 0.0
0691 FAKE -7000.00 -41000.00 0.0 0.0
0692 FAKE -6000.00 -41000.00 0.0 0.0
0693 FAKE -5000.00 -41000.00 0.0 0.0
0694 FAKE -4000.00 -41000.00 0.0 0.0
0695 FAKE -3000.00 -41000.00 0.0 0.0
0696 FAKE -2000.00 -41000.00 0.0 0.0
0697 FAKE -1000.00 -41000.00 0.0 0.0
0698 FAKE 0.00 -41000.00 0.0 0.0
0699 FAKE 1000.00 -41000.00 0.0 0.0
0700 FAKE 2000.00 -41000.00 0.0 0.0
0701 FAKE 3000.00 -41000.00 0.0 0.0
0702 FAKE 4000.00 -41000.00 0.0 0.0
0703 FAKE 5000.00 -41000.00 0.0 0.0
0704 FAKE 6000.00 -41000.00 0.0 0.0
0705 FAKE 7000.00 -41000.00 0.0 0.0
0706 FAKE 8000.00 -41000.00 0.0 0.0
0707 FAKE 9000.00 -41000.00 0.0 0.0
0708 FAKE 10000.00 -41000.00 0.0 0.0
0709 FAKE 11000.00 -41000.00 0.0 0.0
0710 FAKE 12000.00 -41000.00 0.0 0.0
0711 FAKE 13000.00 -41000.00 0.0 0.0
0712 FAKE 14000.00 -41000.00 0.0 0.0
0713 FAKE 15000.00 -41000.00 0.0 0.0
0714 FAKE 16000.00 -41000.00 0.0 0.0
0715 FAKE 17000.00 -41000.00 0.0 0.0
0716 FAKE 18000.00 -41000.00 0.0 0.0
0752 FAKE -20000.00 -40000.00 0.0 0.0
0753 FAKE -19000.00 -40000.00 0.0 0.0
0754 FAKE -18000.00 -40000.00 0.0 0.0
0755 FAKE -17000.00 -40000.00 0.0 0.0
0756 FAKE -16000.00 -40000.00 0.0 0.0
0757 FAKE -15000.00 -40000.00 0.0 0.0
0758 FAKE -14000.00 -40000.00 0.0 0.0
0759 FAKE -13000.00 -40000.00 0.0 0.0
0760 FAKE -12000.00 -40000.00 0.0 0.0
0761 FAKE -11000.00 -40000.00 0.0 0.0
0762 FAKE -10000.00 -40000.00 0.0 0.0
0763 FAKE -9000.00 -40000.00 0.0 0.0
0764 FAKE -8000.00 -40000.00 0.0 0.0
0765 FAKE -7000.00 -40000.00 0.0 0.0
0766 FAKE -6000.00 -40000.00 0.0 0.0
0767 FAKE -5000.00 -40000.00 0.0 0.0
0768 FAKE -4000.00 -40000.00 0.0 0.0
0769 FAKE -3000.00 -40000.00 0.0 0.0
0770 FAKE -2000.00 -40000.00 0.0 0.0
0771 FAKE -1000.00 -40000.00 0.0 0.0
0772 FAKE 0.00 -40000.00 0.0 0.0
0773 FAKE 1000.00 -40000.00 0.0 0.0
0774 FAKE 2000.00 -40000.00 0.0 0.0
0775 FAKE 3000.00 -40000.00 0.0 0.0
0776 FAKE 4000.00 -40000.00 0.0 0.0
0777 FAKE 5000.00 -40000.00 0.0 0.0
0778 FAKE 6000.00 -40000.00 0.0 0.0
0779 FAKE 7000.00 -40000.00 0.0 0.0
0780 FAKE 8000.00 -40000.00 0.0 0.0
0781 FAKE 9000.00 -40000.00 0.0 0.0
0782 FAKE 10000.00 -40000.00 0.0 0.0
0783 FAKE 11000.00 -40000.00 0.0 0.0
0784 FAKE 12000.00 -40000.00 0.0 0.0
0785 FAKE 13000.00 -40000.00 0.0 0.0
0786 FAKE 14000.00 -40000.00 0.0 0.0
0787 FAKE 15000.00 -40000.00 0.0 0.0
0788 FAKE 16000.00 -40000.00 0.0 0.0
0789 FAKE 17000.00 -40000.00 0.0 0.0
0790 FAKE 18000.00 -40000.00 0.0 0.0
0791 FAKE 19000.00 -40000.00 0.0 0.0
0792 FAKE 20000.00 -40000.00 0.0 0.0
0826 FAKE -22000.00 -39000.00 0.0 0.0
0827 FAKE -21000.00 -39000.00 0.0 0.0
0828 FAKE -20000.00 -39000.00 0.0 0.0
0829 FAKE -19000.00 -39000.00 0.0 0.0
0830 FAKE -18000.00 -39000.00 0.0 0.0
0831 FAKE -17000.00 -39000.00 0.0 0.0
0832 FAKE -16000.00 -39000.00 0.0 0.0
0833 FAKE -15000.00 -39000.00 0.0 0.0
0834 FAKE -14000.00 -39000.00 0.0 0.0
0835 FAKE -13000.00 -39000.00 0.0 0.0
0836 FAKE -12000.00 -39000.00 0.0 0.0
0837 FAKE -11000.00 -39000.00 0.0 0.0
0838 FAKE -10000.00 -39000.00 0.0 0.0
0839 FAKE -9000.00 -39000.00 0.0 0.0
0840 FAKE -8000.00 -39000.00 0.0 0.0
0841 FAKE -7000.00 -39000.00 0.0 0.0
0842 FAKE -6000.00 -39000.00 0.0 0.0
0843 FAKE -5000.00 -39000.00 0.0 0.0
0844 FAKE -4000.00 -39000.00 0.0 0.0
0845 FAKE -3000.00 -39000.00 0.0 0.0
0846 FAKE -2000.00 -39000.00 0.0 0.0
0847 FAKE -1000.00 -39000.00 0.0 0.0
0848 FAKE 0.00 -39000.00 0.0 0.0
0849 FAKE 1000.00 -39000.00 0.0 0.0
0850 FAKE 2000.00 -39000.00 0.0 0.0
0851 FAKE 3000.00 -39000.00 0.0 0.0
0852 FAKE 4000.00 -39000.00 0.0 0.0
0853 FAKE 5000.00 -39000.00 0.0 0.0
0854 FAKE 6000.00 -39000.00 0.0 0.0
0855 FAKE 7000.00 -39000.00 0.0 0.0
0856 FAKE 8000.00 -39000.00 0.0 0.0
0857 FAKE 9000.00 -39000.00 0.0 0.0
0858 FAKE 10000.00 -39000.00 0.0 0.0
0859 FAKE 11000.00 -39000.00 0.0 0.0
0860 FAKE 12000.00 -39000.00 0.0 0.0
0861 FAKE 13000.00 -39000.00 0.0 0.0
0862 FAKE 14000.00 -39000.00 0.0 0.0
0863 FAKE 15000.00 -39000.00 0.0 0.0
0864 FAKE 16000.00 -39000.00 0.0 0.0
0865 FAKE 17000.00 -39000.00 0.0 0.0
0866 FAKE 18000.00 -39000.00 0.0 0.0
0867 FAKE 19000.00 -39000.00 0.0 0.0
0868 FAKE 20000.00 -39000.00 0.0 0.0
0869 FAKE 21000.00 -39000.00 0.0 0.0
0870 FAKE 22000.00 -39000.00 0.0 0.0
0902 FAKE -24000.00 -38000.00 0.0 0.0
0903 FAKE -23000.00 -38000.00 0.0 0.0
0904 FAKE -22000.00 -38000.00 0.0 0.0
