#name network latitude longitude useless depth
37 A -90 0 0 0
38 A -80 -180 0 0
39 A -80 -170 0 0
40 A -80 -160 0 0
41 A -80 -150 0 0
42 A -80 -140 0 0
43 A -80 -130 0 0
44 A -80 -120 0 0
45 A -80 -110 0 0
46 A -80 -100 0 0
47 A -80 -90 0 0
48 A -80 -80 0 0
49 A -80 -70 0 0
50 A -80 -60 0 0
51 A -80 -50 0 0
52 A -80 -40 0 0
53 A -80 -30 0 0
54 A -80 -20 0 0
55 A -80 -10 0 0
56 A -80 0 0 0
57 A -80 10 0 0
58 A -80 20 0 0
59 A -80 30 0 0
60 A -80 40 0 0
61 A -80 50 0 0
62 A -80 60 0 0
63 A -80 70 0 0
64 A -80 80 0 0
65 A -80 90 0 0
66 A -80 100 0 0
67 A -80 110 0 0
68 A -80 120 0 0
69 A -80 130 0 0
70 A -80 140 0 0
71 A -80 150 0 0
72 A -80 160 0 0
73 A -80 170 0 0
74 A -80 180 0 0
75 A -70 -180 0 0
76 A -70 -170 0 0
77 A -70 -160 0 0
78 A -70 -150 0 0
79 A -70 -140 0 0
80 A -70 -130 0 0
81 A -70 -120 0 0
82 A -70 -110 0 0
83 A -70 -100 0 0
84 A -70 -90 0 0
85 A -70 -80 0 0
86 A -70 -70 0 0
87 A -70 -60 0 0
88 A -70 -50 0 0
89 A -70 -40 0 0
90 A -70 -30 0 0
91 A -70 -20 0 0
92 A -70 -10 0 0
93 A -70 0 0 0
94 A -70 10 0 0
95 A -70 20 0 0
96 A -70 30 0 0
97 A -70 40 0 0
98 A -70 50 0 0
99 A -70 60 0 0
100 A -70 70 0 0
101 A -70 80 0 0
102 A -70 90 0 0
103 A -70 100 0 0
104 A -70 110 0 0
105 A -70 120 0 0
106 A -70 130 0 0
107 A -70 140 0 0
108 A -70 150 0 0
109 A -70 160 0 0
110 A -70 170 0 0
111 A -70 180 0 0
112 A -60 -180 0 0
113 A -60 -170 0 0
114 A -60 -160 0 0
115 A -60 -150 0 0
116 A -60 -140 0 0
117 A -60 -130 0 0
118 A -60 -120 0 0
119 A -60 -110 0 0
120 A -60 -100 0 0
121 A -60 -90 0 0
122 A -60 -80 0 0
123 A -60 -70 0 0
124 A -60 -60 0 0
125 A -60 -50 0 0
126 A -60 -40 0 0
127 A -60 -30 0 0
128 A -60 -20 0 0
129 A -60 -10 0 0
130 A -60 0 0 0
131 A -60 10 0 0
132 A -60 20 0 0
133 A -60 30 0 0
134 A -60 40 0 0
135 A -60 50 0 0
136 A -60 60 0 0
137 A -60 70 0 0
138 A -60 80 0 0
139 A -60 90 0 0
140 A -60 100 0 0
141 A -60 110 0 0
142 A -60 120 0 0
143 A -60 130 0 0
144 A -60 140 0 0
145 A -60 150 0 0
146 A -60 160 0 0
147 A -60 170 0 0
148 A -60 180 0 0
149 A -50 -180 0 0
150 A -50 -170 0 0
151 A -50 -160 0 0
152 A -50 -150 0 0
153 A -50 -140 0 0
154 A -50 -130 0 0
155 A -50 -120 0 0
156 A -50 -110 0 0
157 A -50 -100 0 0
158 A -50 -90 0 0
159 A -50 -80 0 0
160 A -50 -70 0 0
161 A -50 -60 0 0
162 A -50 -50 0 0
163 A -50 -40 0 0
164 A -50 -30 0 0
165 A -50 -20 0 0
166 A -50 -10 0 0
167 A -50 0 0 0
168 A -50 10 0 0
169 A -50 20 0 0
170 A -50 30 0 0
171 A -50 40 0 0
172 A -50 50 0 0
173 A -50 60 0 0
174 A -50 70 0 0
175 A -50 80 0 0
176 A -50 90 0 0
177 A -50 100 0 0
178 A -50 110 0 0
179 A -50 120 0 0
180 A -50 130 0 0
181 A -50 140 0 0
182 A -50 150 0 0
183 A -50 160 0 0
184 A -50 170 0 0
185 A -50 180 0 0
186 A -40 -180 0 0
187 A -40 -170 0 0
188 A -40 -160 0 0
189 A -40 -150 0 0
190 A -40 -140 0 0
191 A -40 -130 0 0
192 A -40 -120 0 0
193 A -40 -110 0 0
194 A -40 -100 0 0
195 A -40 -90 0 0
196 A -40 -80 0 0
197 A -40 -70 0 0
198 A -40 -60 0 0
199 A -40 -50 0 0
200 A -40 -40 0 0
201 A -40 -30 0 0
202 A -40 -20 0 0
203 A -40 -10 0 0
204 A -40 0 0 0
205 A -40 10 0 0
206 A -40 20 0 0
207 A -40 30 0 0
208 A -40 40 0 0
209 A -40 50 0 0
210 A -40 60 0 0
211 A -40 70 0 0
212 A -40 80 0 0
213 A -40 90 0 0
214 A -40 100 0 0
215 A -40 110 0 0
216 A -40 120 0 0
217 A -40 130 0 0
218 A -40 140 0 0
219 A -40 150 0 0
220 A -40 160 0 0
221 A -40 170 0 0
222 A -40 180 0 0
223 A -30 -180 0 0
224 A -30 -170 0 0
225 A -30 -160 0 0
226 A -30 -150 0 0
227 A -30 -140 0 0
228 A -30 -130 0 0
229 A -30 -120 0 0
230 A -30 -110 0 0
231 A -30 -100 0 0
232 A -30 -90 0 0
233 A -30 -80 0 0
234 A -30 -70 0 0
235 A -30 -60 0 0
236 A -30 -50 0 0
237 A -30 -40 0 0
238 A -30 -30 0 0
239 A -30 -20 0 0
240 A -30 -10 0 0
241 A -30 0 0 0
242 A -30 10 0 0
243 A -30 20 0 0
244 A -30 30 0 0
245 A -30 40 0 0
246 A -30 50 0 0
247 A -30 60 0 0
248 A -30 70 0 0
249 A -30 80 0 0
250 A -30 90 0 0
251 A -30 100 0 0
252 A -30 110 0 0
253 A -30 120 0 0
254 A -30 130 0 0
255 A -30 140 0 0
256 A -30 150 0 0
257 A -30 160 0 0
258 A -30 170 0 0
259 A -30 180 0 0
260 A -20 -180 0 0
261 A -20 -170 0 0
262 A -20 -160 0 0
263 A -20 -150 0 0
264 A -20 -140 0 0
265 A -20 -130 0 0
266 A -20 -120 0 0
267 A -20 -110 0 0
268 A -20 -100 0 0
269 A -20 -90 0 0
270 A -20 -80 0 0
271 A -20 -70 0 0
272 A -20 -60 0 0
273 A -20 -50 0 0
274 A -20 -40 0 0
275 A -20 -30 0 0
276 A -20 -20 0 0
277 A -20 -10 0 0
278 A -20 0 0 0
279 A -20 10 0 0
280 A -20 20 0 0
281 A -20 30 0 0
282 A -20 40 0 0
283 A -20 50 0 0
284 A -20 60 0 0
285 A -20 70 0 0
286 A -20 80 0 0
287 A -20 90 0 0
288 A -20 100 0 0
289 A -20 110 0 0
290 A -20 120 0 0
291 A -20 130 0 0
292 A -20 140 0 0
293 A -20 150 0 0
294 A -20 160 0 0
295 A -20 170 0 0
296 A -20 180 0 0
297 A -10 -180 0 0
298 A -10 -170 0 0
299 A -10 -160 0 0
300 A -10 -150 0 0
301 A -10 -140 0 0
302 A -10 -130 0 0
303 A -10 -120 0 0
304 A -10 -110 0 0
305 A -10 -100 0 0
306 A -10 -90 0 0
307 A -10 -80 0 0
308 A -10 -70 0 0
