# ------------------------------------------------------------------------------
#     name   network            latitude           longitude  useless      depth
# ------------------------------------------------------------------------------
	0	A		0 			0	0	    1
        1       A               1                       0       0          1
        2       A               2                       0       0          1
        3       A               3                       0       0          1
        4       A               4                       0       0          1
        5       A               5                       0       0          1
        6       A               6                       0       0          1
        7       A               7                       0       0          1
        8       A               8                       0       0          1
        9       A               9                       0       0          1
