# ---     ---     ---     ---     ---     ---
# name   network   latitude   longitude   useless   depth
  1109      II   -30.0   -30   0   0
  1110      II   -22.5   -30   0   0
  1111      II   -15.0   -30   0   0
  1112      II   -7.5   -30   0   0
  1113      II   0.0   -30   0   0
  1114      II   7.5   -30   0   0
  1115      II   15.0   -30   0   0
  1116      II   22.5   -30   0   0
  1117      II   30.0   -30   0   0
  1118      II   37.5   -30   0   0
  1119      II   45.0   -30   0   0
  1120      II   52.5   -30   0   0
  1208      II   -37.5   -15   0   0
  1209      II   -30.0   -15   0   0
  1210      II   -22.5   -15   0   0
  1211      II   -15.0   -15   0   0
  1212      II   -7.5   -15   0   0
  1213      II   0.0   -15   0   0
  1214      II   7.5   -15   0   0
  1215      II   15.0   -15   0   0
  1216      II   22.5   -15   0   0
  1217      II   30.0   -15   0   0
  1218      II   37.5   -15   0   0
  1219      II   45.0   -15   0   0
  1220      II   52.5   -15   0   0
  1305      II   -60.0   0   0   0
  1306      II   -52.5   0   0   0
  1307      II   -45.0   0   0   0
  1308      II   -37.5   0   0   0
  1309      II   -30.0   0   0   0
  1310      II   -22.5   0   0   0
  1311      II   -15.0   0   0   0
  1312      II   -7.5   0   0   0
  1313      II   0.0   0   0   0
  1314      II   7.5   0   0   0
  1315      II   15.0   0   0   0
  1316      II   22.5   0   0   0
  1317      II   30.0   0   0   0
  1318      II   37.5   0   0   0
  1319      II   45.0   0   0   0
  1320      II   52.5   0   0   0
  1406      II   -52.5   15   0   0
  1407      II   -45.0   15   0   0
  1408      II   -37.5   15   0   0
  1409      II   -30.0   15   0   0
  1410      II   -22.5   15   0   0
  1411      II   -15.0   15   0   0
  1412      II   -7.5   15   0   0
  1413      II   0.0   15   0   0
  1414      II   7.5   15   0   0
  1415      II   15.0   15   0   0
  1416      II   22.5   15   0   0
  1417      II   30.0   15   0   0
  1418      II   37.5   15   0   0
  1419      II   45.0   15   0   0
  1507      II   -45.0   30   0   0
  1508      II   -37.5   30   0   0
  1509      II   -30.0   30   0   0
  1510      II   -22.5   30   0   0
  1511      II   -15.0   30   0   0
  1512      II   -7.5   30   0   0
  1513      II   0.0   30   0   0
  1514      II   7.5   30   0   0
  1515      II   15.0   30   0   0
  1516      II   22.5   30   0   0
  1517      II   30.0   30   0   0
  1518      II   37.5   30   0   0
  1519      II   45.0   30   0   0
  1607      II   -45.0   45   0   0
  1608      II   -37.5   45   0   0
  1609      II   -30.0   45   0   0
  1610      II   -22.5   45   0   0
  1611      II   -15.0   45   0   0
  1612      II   -7.5   45   0   0
  1613      II   0.0   45   0   0
  1614      II   7.5   45   0   0
  1615      II   15.0   45   0   0
  1616      II   22.5   45   0   0
  1617      II   30.0   45   0   0
  1618      II   37.5   45   0   0
  1619      II   45.0   45   0   0
