d0 	    a0 	    89.9999 	0.0 	0.0 	0.0
d0 	    a30 	89.9999 	30.0 	0.0 	0.0
d0 	    a60 	89.9999 	60.0 	0.0 	0.0
d10 	a0 	    80.0 	0.0 	0.0 	0.0
d10 	a30 	80.0 	30.0 	0.0 	0.0
d10 	a60 	80.0 	60.0 	0.0 	0.0
d20 	a0 	    70.0 	0.0 	0.0 	0.0
d20 	a30 	70.0 	30.0 	0.0 	0.0
d20 	a60 	70.0 	60.0 	0.0 	0.0
d30 	a0 	    60.0 	0.0 	0.0 	0.0
d30 	a30 	60.0 	30.0 	0.0 	0.0
d30 	a60 	60.0 	60.0 	0.0 	0.0
d40 	a0 	    50.0 	0.0 	0.0 	0.0
d40 	a30 	50.0 	30.0 	0.0 	0.0
d40 	a60 	50.0 	60.0 	0.0 	0.0
d50 	a0 	    40.0 	0.0 	0.0 	0.0
d50 	a30 	40.0 	30.0 	0.0 	0.0
d50 	a60 	40.0 	60.0 	0.0 	0.0
d60 	a0 	    30.0 	0.0 	0.0 	0.0
d60 	a30 	30.0 	30.0 	0.0 	0.0
d60 	a60 	30.0 	60.0 	0.0 	0.0
d70 	a0 	    20.0 	0.0 	0.0 	0.0
d70 	a30 	20.0 	30.0 	0.0 	0.0
d70 	a60 	20.0 	60.0 	0.0 	0.0
d80 	a0 	    10.0 	0.0 	0.0 	0.0
d80 	a30 	10.0 	30.0 	0.0 	0.0
d80 	a60 	10.0 	60.0 	0.0 	0.0
d90 	a0 	    0.0 	0.0 	0.0 	0.0
d90 	a30 	0.0 	30.0 	0.0 	0.0
d90 	a60 	0.0 	60.0 	0.0 	0.0
d100 	a0 	    -10.0 	0.0 	0.0 	0.0
d100 	a30 	-10.0 	30.0 	0.0 	0.0
d100 	a60 	-10.0 	60.0 	0.0 	0.0
d110 	a0 	    -20.0 	0.0 	0.0 	0.0
d110 	a30 	-20.0 	30.0 	0.0 	0.0
d110 	a60 	-20.0 	60.0 	0.0 	0.0
d120 	a0 	    -30.0 	0.0 	0.0 	0.0
d120 	a30 	-30.0 	30.0 	0.0 	0.0
d120 	a60 	-30.0 	60.0 	0.0 	0.0
d130 	a0 	    -40.0 	0.0 	0.0 	0.0
d130 	a30 	-40.0 	30.0 	0.0 	0.0
d130 	a60 	-40.0 	60.0 	0.0 	0.0
d140 	a0 	    -50.0 	0.0 	0.0 	0.0
d140 	a30 	-50.0 	30.0 	0.0 	0.0
d140 	a60 	-50.0 	60.0 	0.0 	0.0
d150 	a0 	    -60.0 	0.0 	0.0 	0.0
d150 	a30 	-60.0 	30.0 	0.0 	0.0
d150 	a60 	-60.0 	60.0 	0.0 	0.0
d160 	a0 	    -70.0 	0.0 	0.0 	0.0
d160 	a30 	-70.0 	30.0 	0.0 	0.0
d160 	a60 	-70.0 	60.0 	0.0 	0.0
d170 	a0 	    -80.0 	0.0 	0.0 	0.0
d170 	a30 	-80.0 	30.0 	0.0 	0.0
d170 	a60 	-80.0 	60.0 	0.0 	0.0
d180 	a0 	    -89.9999 	0.0 	0.0 	0.0
d180 	a30 	-89.9999 	30.0 	0.0 	0.0
d180 	a60 	-89.9999 	60.0 	0.0 	0.0
