# ---------------------------------------------------------------
#   name  network        latitude        longitude  useless  depth
# ---------------------------------------------------------------
  LM0000        LU          0.0000           0.1000     0.0    0.0
  LM0001        LU          0.0000           0.2000     0.0    0.0
  LM0002        LU          0.0000           0.3000     0.0    0.0
  LM0003        LU          0.0000           0.4000     0.0    0.0
  LM0004        LU          0.0000           0.5000     0.0    0.0
  LM0005        LU          0.0000           0.6000     0.0    0.0
  LM0006        LU          0.0000           0.7000     0.0    0.0
  LM0007        LU          0.0000           0.8000     0.0    0.0
  LM0008        LU          0.0000           0.9000     0.0    0.0
  LM0009        LU          0.0000           1.0000     0.0    0.0
  LM0010        LU          0.0000           1.1000     0.0    0.0
  LM0011        LU          0.0000           1.2000     0.0    0.0
  LM0012        LU          0.0000           1.3000     0.0    0.0
  LM0013        LU          0.0000           1.4000     0.0    0.0
  LM0014        LU          0.0000           1.5000     0.0    0.0
  LM0015        LU          0.0000           1.6000     0.0    0.0
  LM0016        LU          0.0000           1.7000     0.0    0.0
  LM0017        LU          0.0000           1.8000     0.0    0.0
  LM0018        LU          0.0000           1.9000     0.0    0.0
  LM0019        LU          0.0000           2.0000     0.0    0.0
  LM0020        LU          0.0000           2.1000     0.0    0.0
  LM0021        LU          0.0000           2.2000     0.0    0.0
  LM0022        LU          0.0000           2.3000     0.0    0.0
  LM0023        LU          0.0000           2.4000     0.0    0.0
  LM0024        LU          0.0000           2.5000     0.0    0.0
  LM0025        LU          0.0000           2.6000     0.0    0.0
  LM0026        LU          0.0000           2.7000     0.0    0.0
  LM0027        LU          0.0000           2.8000     0.0    0.0
  LM0028        LU          0.0000           2.9000     0.0    0.0
  LM0029        LU          0.0000           3.0000     0.0    0.0
  LM0030        LU          0.0000           3.1000     0.0    0.0
  LM0031        LU          0.0000           3.2000     0.0    0.0
  LM0032        LU          0.0000           3.3000     0.0    0.0
  LM0033        LU          0.0000           3.4000     0.0    0.0
  LM0034        LU          0.0000           3.5000     0.0    0.0
  LM0035        LU          0.0000           3.6000     0.0    0.0
  LM0036        LU          0.0000           3.7000     0.0    0.0
  LM0037        LU          0.0000           3.8000     0.0    0.0
  LM0038        LU          0.0000           3.9000     0.0    0.0
  LM0039        LU          0.0000           4.0000     0.0    0.0
  LM0040        LU          0.0000           4.1000     0.0    0.0
  LM0041        LU          0.0000           4.2000     0.0    0.0
  LM0042        LU          0.0000           4.3000     0.0    0.0
  LM0043        LU          0.0000           4.4000     0.0    0.0
  LM0044        LU          0.0000           4.5000     0.0    0.0
  LM0045        LU          0.0000           4.6000     0.0    0.0
  LM0046        LU          0.0000           4.7000     0.0    0.0
  LM0047        LU          0.0000           4.8000     0.0    0.0
  LM0048        LU          0.0000           4.9000     0.0    0.0
  LM0049        LU          0.0000           5.0000     0.0    0.0
  LM0050        LU          0.0000           5.1000     0.0    0.0
  LM0051        LU          0.0000           5.2000     0.0    0.0
  LM0052        LU          0.0000           5.3000     0.0    0.0
  LM0053        LU          0.0000           5.4000     0.0    0.0
  LM0054        LU          0.0000           5.5000     0.0    0.0
  LM0055        LU          0.0000           5.6000     0.0    0.0
  LM0056        LU          0.0000           5.7000     0.0    0.0
  LM0057        LU          0.0000           5.8000     0.0    0.0
  LM0058        LU          0.0000           5.9000     0.0    0.0
  LM0059        LU          0.0000           6.0000     0.0    0.0
  LM0060        LU          0.0000           6.1000     0.0    0.0
  LM0061        LU          0.0000           6.2000     0.0    0.0
  LM0062        LU          0.0000           6.3000     0.0    0.0
  LM0063        LU          0.0000           6.4000     0.0    0.0
  LM0064        LU          0.0000           6.5000     0.0    0.0
  LM0065        LU          0.0000           6.6000     0.0    0.0
  LM0066        LU          0.0000           6.7000     0.0    0.0
  LM0067        LU          0.0000           6.8000     0.0    0.0
  LM0068        LU          0.0000           6.9000     0.0    0.0
  LM0069        LU          0.0000           7.0000     0.0    0.0
  LM0070        LU          0.0000           7.1000     0.0    0.0
  LM0071        LU          0.0000           7.2000     0.0    0.0
  LM0072        LU          0.0000           7.3000     0.0    0.0
  LM0073        LU          0.0000           7.4000     0.0    0.0
  LM0074        LU          0.0000           7.5000     0.0    0.0
  LM0075        LU          0.0000           7.6000     0.0    0.0
  LM0076        LU          0.0000           7.7000     0.0    0.0
  LM0077        LU          0.0000           7.8000     0.0    0.0
  LM0078        LU          0.0000           7.9000     0.0    0.0
  LM0079        LU          0.0000           8.0000     0.0    0.0
  LM0080        LU          0.0000           8.1000     0.0    0.0
  LM0081        LU          0.0000           8.2000     0.0    0.0
  LM0082        LU          0.0000           8.3000     0.0    0.0
  LM0083        LU          0.0000           8.4000     0.0    0.0
  LM0084        LU          0.0000           8.5000     0.0    0.0
  LM0085        LU          0.0000           8.6000     0.0    0.0
  LM0086        LU          0.0000           8.7000     0.0    0.0
  LM0087        LU          0.0000           8.8000     0.0    0.0
  LM0088        LU          0.0000           8.9000     0.0    0.0
  LM0089        LU          0.0000           9.0000     0.0    0.0
  LM0090        LU          0.0000           9.1000     0.0    0.0
  LM0091        LU          0.0000           9.2000     0.0    0.0
  LM0092        LU          0.0000           9.3000     0.0    0.0
  LM0093        LU          0.0000           9.4000     0.0    0.0
  LM0094        LU          0.0000           9.5000     0.0    0.0
  LM0095        LU          0.0000           9.6000     0.0    0.0
  LM0096        LU          0.0000           9.7000     0.0    0.0
  LM0097        LU          0.0000           9.8000     0.0    0.0
  LM0098        LU          0.0000           9.9000     0.0    0.0
  LM0099        LU          0.0000          10.0000     0.0    0.0
  LM0100        LU          0.0000          10.1000     0.0    0.0
  LM0101        LU          0.0000          10.2000     0.0    0.0
  LM0102        LU          0.0000          10.3000     0.0    0.0
  LM0103        LU          0.0000          10.4000     0.0    0.0
  LM0104        LU          0.0000          10.5000     0.0    0.0
  LM0105        LU          0.0000          10.6000     0.0    0.0
  LM0106        LU          0.0000          10.7000     0.0    0.0
  LM0107        LU          0.0000          10.8000     0.0    0.0
  LM0108        LU          0.0000          10.9000     0.0    0.0
  LM0109        LU          0.0000          11.0000     0.0    0.0
  LM0110        LU          0.0000          11.1000     0.0    0.0
  LM0111        LU          0.0000          11.2000     0.0    0.0
  LM0112        LU          0.0000          11.3000     0.0    0.0
  LM0113        LU          0.0000          11.4000     0.0    0.0
  LM0114        LU          0.0000          11.5000     0.0    0.0
  LM0115        LU          0.0000          11.6000     0.0    0.0
  LM0116        LU          0.0000          11.7000     0.0    0.0
  LM0117        LU          0.0000          11.8000     0.0    0.0
  LM0118        LU          0.0000          11.9000     0.0    0.0
  LM0119        LU          0.0000          12.0000     0.0    0.0
  LM0120        LU          0.0000          12.1000     0.0    0.0
  LM0121        LU          0.0000          12.2000     0.0    0.0
  LM0122        LU          0.0000          12.3000     0.0    0.0
  LM0123        LU          0.0000          12.4000     0.0    0.0
  LM0124        LU          0.0000          12.5000     0.0    0.0
  LM0125        LU          0.0000          12.6000     0.0    0.0
  LM0126        LU          0.0000          12.7000     0.0    0.0
  LM0127        LU          0.0000          12.8000     0.0    0.0
  LM0128        LU          0.0000          12.9000     0.0    0.0
  LM0129        LU          0.0000          13.0000     0.0    0.0
  LM0130        LU          0.0000          13.1000     0.0    0.0
  LM0131        LU          0.0000          13.2000     0.0    0.0
  LM0132        LU          0.0000          13.3000     0.0    0.0
  LM0133        LU          0.0000          13.4000     0.0    0.0
  LM0134        LU          0.0000          13.5000     0.0    0.0
  LM0135        LU          0.0000          13.6000     0.0    0.0
  LM0136        LU          0.0000          13.7000     0.0    0.0
  LM0137        LU          0.0000          13.8000     0.0    0.0
  LM0138        LU          0.0000          13.9000     0.0    0.0
  LM0139        LU          0.0000          14.0000     0.0    0.0
  LM0140        LU          0.0000          14.1000     0.0    0.0
  LM0141        LU          0.0000          14.2000     0.0    0.0
  LM0142        LU          0.0000          14.3000     0.0    0.0
  LM0143        LU          0.0000          14.4000     0.0    0.0
  LM0144        LU          0.0000          14.5000     0.0    0.0
  LM0145        LU          0.0000          14.6000     0.0    0.0
  LM0146        LU          0.0000          14.7000     0.0    0.0
  LM0147        LU          0.0000          14.8000     0.0    0.0
  LM0148        LU          0.0000          14.9000     0.0    0.0
  LM0149        LU          0.0000          15.0000     0.0    0.0
  LM0150        LU          0.0000          15.1000     0.0    0.0
  LM0151        LU          0.0000          15.2000     0.0    0.0
  LM0152        LU          0.0000          15.3000     0.0    0.0
  LM0153        LU          0.0000          15.4000     0.0    0.0
  LM0154        LU          0.0000          15.5000     0.0    0.0
  LM0155        LU          0.0000          15.6000     0.0    0.0
  LM0156        LU          0.0000          15.7000     0.0    0.0
  LM0157        LU          0.0000          15.8000     0.0    0.0
  LM0158        LU          0.0000          15.9000     0.0    0.0
  LM0159        LU          0.0000          16.0000     0.0    0.0
  LM0160        LU          0.0000          16.1000     0.0    0.0
  LM0161        LU          0.0000          16.2000     0.0    0.0
  LM0162        LU          0.0000          16.3000     0.0    0.0
  LM0163        LU          0.0000          16.4000     0.0    0.0
  LM0164        LU          0.0000          16.5000     0.0    0.0
  LM0165        LU          0.0000          16.6000     0.0    0.0
  LM0166        LU          0.0000          16.7000     0.0    0.0
  LM0167        LU          0.0000          16.8000     0.0    0.0
  LM0168        LU          0.0000          16.9000     0.0    0.0
  LM0169        LU          0.0000          17.0000     0.0    0.0
  LM0170        LU          0.0000          17.1000     0.0    0.0
  LM0171        LU          0.0000          17.2000     0.0    0.0
  LM0172        LU          0.0000          17.3000     0.0    0.0
  LM0173        LU          0.0000          17.4000     0.0    0.0
  LM0174        LU          0.0000          17.5000     0.0    0.0
  LM0175        LU          0.0000          17.6000     0.0    0.0
  LM0176        LU          0.0000          17.7000     0.0    0.0
  LM0177        LU          0.0000          17.8000     0.0    0.0
  LM0178        LU          0.0000          17.9000     0.0    0.0
  LM0179        LU          0.0000          18.0000     0.0    0.0
  LM0180        LU          0.0000          18.1000     0.0    0.0
  LM0181        LU          0.0000          18.2000     0.0    0.0
  LM0182        LU          0.0000          18.3000     0.0    0.0
  LM0183        LU          0.0000          18.4000     0.0    0.0
  LM0184        LU          0.0000          18.5000     0.0    0.0
  LM0185        LU          0.0000          18.6000     0.0    0.0
  LM0186        LU          0.0000          18.7000     0.0    0.0
  LM0187        LU          0.0000          18.8000     0.0    0.0
  LM0188        LU          0.0000          18.9000     0.0    0.0
  LM0189        LU          0.0000          19.0000     0.0    0.0
  LM0190        LU          0.0000          19.1000     0.0    0.0
  LM0191        LU          0.0000          19.2000     0.0    0.0
  LM0192        LU          0.0000          19.3000     0.0    0.0
  LM0193        LU          0.0000          19.4000     0.0    0.0
  LM0194        LU          0.0000          19.5000     0.0    0.0
  LM0195        LU          0.0000          19.6000     0.0    0.0
  LM0196        LU          0.0000          19.7000     0.0    0.0
  LM0197        LU          0.0000          19.8000     0.0    0.0
  LM0198        LU          0.0000          19.9000     0.0    0.0
  LM0199        LU          0.0000          20.0000     0.0    0.0
  LM0200        LU          0.0000          20.1000     0.0    0.0
  LM0201        LU          0.0000          20.2000     0.0    0.0
  LM0202        LU          0.0000          20.3000     0.0    0.0
  LM0203        LU          0.0000          20.4000     0.0    0.0
  LM0204        LU          0.0000          20.5000     0.0    0.0
  LM0205        LU          0.0000          20.6000     0.0    0.0
  LM0206        LU          0.0000          20.7000     0.0    0.0
  LM0207        LU          0.0000          20.8000     0.0    0.0
  LM0208        LU          0.0000          20.9000     0.0    0.0
  LM0209        LU          0.0000          21.0000     0.0    0.0
  LM0210        LU          0.0000          21.1000     0.0    0.0
  LM0211        LU          0.0000          21.2000     0.0    0.0
  LM0212        LU          0.0000          21.3000     0.0    0.0
  LM0213        LU          0.0000          21.4000     0.0    0.0
  LM0214        LU          0.0000          21.5000     0.0    0.0
  LM0215        LU          0.0000          21.6000     0.0    0.0
  LM0216        LU          0.0000          21.7000     0.0    0.0
  LM0217        LU          0.0000          21.8000     0.0    0.0
  LM0218        LU          0.0000          21.9000     0.0    0.0
  LM0219        LU          0.0000          22.0000     0.0    0.0
  LM0220        LU          0.0000          22.1000     0.0    0.0
  LM0221        LU          0.0000          22.2000     0.0    0.0
  LM0222        LU          0.0000          22.3000     0.0    0.0
  LM0223        LU          0.0000          22.4000     0.0    0.0
  LM0224        LU          0.0000          22.5000     0.0    0.0
  LM0225        LU          0.0000          22.6000     0.0    0.0
  LM0226        LU          0.0000          22.7000     0.0    0.0
  LM0227        LU          0.0000          22.8000     0.0    0.0
  LM0228        LU          0.0000          22.9000     0.0    0.0
  LM0229        LU          0.0000          23.0000     0.0    0.0
  LM0230        LU          0.0000          23.1000     0.0    0.0
  LM0231        LU          0.0000          23.2000     0.0    0.0
  LM0232        LU          0.0000          23.3000     0.0    0.0
  LM0233        LU          0.0000          23.4000     0.0    0.0
  LM0234        LU          0.0000          23.5000     0.0    0.0
  LM0235        LU          0.0000          23.6000     0.0    0.0
  LM0236        LU          0.0000          23.7000     0.0    0.0
  LM0237        LU          0.0000          23.8000     0.0    0.0
  LM0238        LU          0.0000          23.9000     0.0    0.0
  LM0239        LU          0.0000          24.0000     0.0    0.0
  LM0240        LU          0.0000          24.1000     0.0    0.0
  LM0241        LU          0.0000          24.2000     0.0    0.0
  LM0242        LU          0.0000          24.3000     0.0    0.0
  LM0243        LU          0.0000          24.4000     0.0    0.0
  LM0244        LU          0.0000          24.5000     0.0    0.0
  LM0245        LU          0.0000          24.6000     0.0    0.0
  LM0246        LU          0.0000          24.7000     0.0    0.0
  LM0247        LU          0.0000          24.8000     0.0    0.0
  LM0248        LU          0.0000          24.9000     0.0    0.0
  LM0249        LU          0.0000          25.0000     0.0    0.0
  LM0250        LU          0.0000          25.1000     0.0    0.0
  LM0251        LU          0.0000          25.2000     0.0    0.0
  LM0252        LU          0.0000          25.3000     0.0    0.0
  LM0253        LU          0.0000          25.4000     0.0    0.0
  LM0254        LU          0.0000          25.5000     0.0    0.0
  LM0255        LU          0.0000          25.6000     0.0    0.0
  LM0256        LU          0.0000          25.7000     0.0    0.0
  LM0257        LU          0.0000          25.8000     0.0    0.0
  LM0258        LU          0.0000          25.9000     0.0    0.0
  LM0259        LU          0.0000          26.0000     0.0    0.0
  LM0260        LU          0.0000          26.1000     0.0    0.0
  LM0261        LU          0.0000          26.2000     0.0    0.0
  LM0262        LU          0.0000          26.3000     0.0    0.0
  LM0263        LU          0.0000          26.4000     0.0    0.0
  LM0264        LU          0.0000          26.5000     0.0    0.0
  LM0265        LU          0.0000          26.6000     0.0    0.0
  LM0266        LU          0.0000          26.7000     0.0    0.0
  LM0267        LU          0.0000          26.8000     0.0    0.0
  LM0268        LU          0.0000          26.9000     0.0    0.0
  LM0269        LU          0.0000          27.0000     0.0    0.0
  LM0270        LU          0.0000          27.1000     0.0    0.0
  LM0271        LU          0.0000          27.2000     0.0    0.0
  LM0272        LU          0.0000          27.3000     0.0    0.0
  LM0273        LU          0.0000          27.4000     0.0    0.0
  LM0274        LU          0.0000          27.5000     0.0    0.0
  LM0275        LU          0.0000          27.6000     0.0    0.0
  LM0276        LU          0.0000          27.7000     0.0    0.0
  LM0277        LU          0.0000          27.8000     0.0    0.0
  LM0278        LU          0.0000          27.9000     0.0    0.0
  LM0279        LU          0.0000          28.0000     0.0    0.0
  LM0280        LU          0.0000          28.1000     0.0    0.0
  LM0281        LU          0.0000          28.2000     0.0    0.0
  LM0282        LU          0.0000          28.3000     0.0    0.0
  LM0283        LU          0.0000          28.4000     0.0    0.0
  LM0284        LU          0.0000          28.5000     0.0    0.0
  LM0285        LU          0.0000          28.6000     0.0    0.0
  LM0286        LU          0.0000          28.7000     0.0    0.0
  LM0287        LU          0.0000          28.8000     0.0    0.0
  LM0288        LU          0.0000          28.9000     0.0    0.0
  LM0289        LU          0.0000          29.0000     0.0    0.0
  LM0290        LU          0.0000          29.1000     0.0    0.0
  LM0291        LU          0.0000          29.2000     0.0    0.0
  LM0292        LU          0.0000          29.3000     0.0    0.0
  LM0293        LU          0.0000          29.4000     0.0    0.0
  LM0294        LU          0.0000          29.5000     0.0    0.0
  LM0295        LU          0.0000          29.6000     0.0    0.0
  LM0296        LU          0.0000          29.7000     0.0    0.0
  LM0297        LU          0.0000          29.8000     0.0    0.0
  LM0298        LU          0.0000          29.9000     0.0    0.0
  LM0299        LU          0.0000          30.0000     0.0    0.0
  LM0300        LU          0.0000          30.1000     0.0    0.0
  LM0301        LU          0.0000          30.2000     0.0    0.0
  LM0302        LU          0.0000          30.3000     0.0    0.0
  LM0303        LU          0.0000          30.4000     0.0    0.0
  LM0304        LU          0.0000          30.5000     0.0    0.0
  LM0305        LU          0.0000          30.6000     0.0    0.0
  LM0306        LU          0.0000          30.7000     0.0    0.0
  LM0307        LU          0.0000          30.8000     0.0    0.0
  LM0308        LU          0.0000          30.9000     0.0    0.0
  LM0309        LU          0.0000          31.0000     0.0    0.0
  LM0310        LU          0.0000          31.1000     0.0    0.0
  LM0311        LU          0.0000          31.2000     0.0    0.0
  LM0312        LU          0.0000          31.3000     0.0    0.0
  LM0313        LU          0.0000          31.4000     0.0    0.0
  LM0314        LU          0.0000          31.5000     0.0    0.0
  LM0315        LU          0.0000          31.6000     0.0    0.0
  LM0316        LU          0.0000          31.7000     0.0    0.0
  LM0317        LU          0.0000          31.8000     0.0    0.0
  LM0318        LU          0.0000          31.9000     0.0    0.0
  LM0319        LU          0.0000          32.0000     0.0    0.0
  LM0320        LU          0.0000          32.1000     0.0    0.0
  LM0321        LU          0.0000          32.2000     0.0    0.0
  LM0322        LU          0.0000          32.3000     0.0    0.0
  LM0323        LU          0.0000          32.4000     0.0    0.0
  LM0324        LU          0.0000          32.5000     0.0    0.0
  LM0325        LU          0.0000          32.6000     0.0    0.0
  LM0326        LU          0.0000          32.7000     0.0    0.0
