# ------------------------------------------------------------------------------
#     name   network            latitude           longitude  useless      depth
# ------------------------------------------------------------------------------
       AAK        II             42.6390             74.4940    1645.0      30.0
      ABKT        II             37.9304             58.1189     678.0       7.0
      ABPO        II            -19.0180             47.2290    1528.0       5.3
       ALE        II             82.5033            -62.3500      60.0       0.0
       ARU        II             56.4302             58.5625     250.0       0.0
      ASCN        II             -7.9327            -14.3601     173.0     100.0
       BFO        II             48.3319              8.3311     589.0       0.0
      BORG        II             64.7474            -21.3268     110.0      95.0
      BRVK        II             53.0581             70.2828     330.0      15.0
      CMLA        II             37.7637            -25.5243     429.0       7.0
      COCO        II            -12.1901             96.8349       1.0      70.0
      DGAR        II             -7.4121             72.4525       1.0       2.0
       EFI        II            -51.6753            -58.0637     110.0      80.0
       ERM        II             42.0150            143.1572      40.0       0.0
       ESK        II             55.3167             -3.2050     242.0       0.0
       FFC        II             54.7250           -101.9783     338.0       0.0
       GAR        II             39.0000             70.3167    1300.0       0.0
      HOPE        II            -54.2836            -36.4879      20.0       0.0
       JTS        II             10.2908            -84.9525     340.0       0.0
      KAPI        II             -5.0142            119.7517     300.0     100.0
      KDAK        II             57.7828           -152.5835     152.0       5.5
       SBA        IU            -77.8492            166.7572      48.0       2.0
       SDV        IU              8.8839            -70.6340    1588.0      32.0
      SFJD        IU             66.9961            -50.6208     329.0       1.0
       SJG        IU             18.1091            -66.1500     420.0       0.0
      SLBS        IU             23.6858           -109.9443     825.0       0.0

